Ereco,weights
0.004845329543635646,0.0
0.0048524000254128365,0.0
0.004861682793185511,0.0
0.004856221100375453,0.0
0.004814589818999568,0.0
0.004782075842902461,0.0
0.004843517383620539,0.0
0.0048234623280022535,0.0
0.004805225094840327,0.0
0.004783143600508967,0.0
0.0048091051187966255,0.0
0.004879423638865748,0.0
0.004841517647788325,0.0
0.0048123917785141855,0.0
0.0048269453850243475,0.0
0.004811800798461238,0.0
0.00479298653273324,0.0
0.004873700937316218,0.0
0.004861080905482569,0.0
0.004857456585452357,0.0
0.004855858406111994,0.0
0.004807515701339045,0.0
0.004810010751769343,0.0
0.004778565904185572,0.0
0.004845974823519984,0.0
0.004845093092009822,0.0
0.004858184536978998,0.0
0.004813202103659907,0.0
0.004836528917834559,0.0
0.004802632173583308,0.0
0.0048481344190094856,0.0
0.004842708548590937,0.0
0.004792661449000635,0.0
0.004804465672061243,0.0
0.00482023503451089,0.0
0.004815313896224299,0.0
0.004782975455806055,0.0
0.00483754756121377,0.0
0.004816765030906001,0.0
0.004840654632136622,0.0
0.0048615002241585645,0.0
0.004822836300418177,0.0
0.004839294752166072,0.0
0.00485728462605218,0.0
0.00483790065912942,14991.362170001252
0.004840330621287623,0.0
0.004792274555251399,0.0
0.00480545254616479,0.0
0.004831431588218012,0.0
0.004851347705409327,0.0
0.004809988698050776,0.0
0.004864478608653346,0.0
0.0049058814254258065,0.0
0.004820639213607112,0.0
0.004778490146682063,0.0
0.004848266681716242,0.0
0.004823671659514704,0.0
0.004838260611579218,0.0
0.004793609520480433,0.0
0.004800419053122797,0.0
0.004816099664256373,56522.7044905473
0.004852846225783625,0.0
0.0048015166130516915,0.0
0.004862500688121119,0.0
0.004831755539462366,0.0
0.004853379150912562,0.0
0.004860499700591364,0.0
0.004859485587165156,0.0
0.00483181973366479,0.0
0.0048675436583016304,0.0
0.004845844527766505,0.0
0.004817420264766017,0.0
0.004767436346099177,0.0
0.004812205037162104,0.0
0.0048509549108002575,0.0
0.004789351185843745,0.0
0.004845412334487239,0.0
0.00487592007784585,0.0
0.004837195416972437,0.0
0.004846692403838435,0.0
0.004901191076323787,0.0
0.004826883932635585,0.0
0.004870847603366175,0.0
0.004834874233290949,0.0
0.004838062366530695,0.0
0.004799296995684901,0.0
0.00485434182553033,0.0
0.00485394742159585,0.0
0.004854364594504634,0.0
0.0047982753124688055,0.0
0.004797274908110895,0.0
0.004802291354224482,0.0
0.004827443918273249,0.0
0.004849839052245417,0.0
0.00483239038853387,0.0
